,artist_and_title,wks,t10,pk,(x?),pkstreams,total,artist,title,country,deezer_track_id,deezer_release_date,deezer_genres
0,J. Cole - No Role Modelz,510,1.0,10,,4946936,1248840407,J. Cole,No Role Modelz,us,1591188152,2014-12-09,['Rap/Hip Hop']
1,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,315,45.0,1,(x6),14731867,1181577968,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,us,602456552,2018-12-14,"['Film/Oyun', 'Film Müzikleri']"
2,The Neighbourhood - Sweater Weather,365,6.0,8,,5562447,1060912262,The Neighbourhood,Sweater Weather,us,66506871,2013-04-19,"['Alternatif', 'Rock']"
3,Juice WRLD - Lucid Dreams,262,26.0,1,(x1),13963947,928829032,Juice WRLD,Lucid Dreams,us,601837422,2018-12-10,['Rap/Hip Hop']
4,"Tyler, The Creator - See You Again",241,9.0,5,,7700794,882340160,"Tyler, The Creator",See You Again,us,384157591,2017-07-21,['Rap/Hip Hop']
5,Zach Bryan - Something in the Orange,199,3.0,4,,6487876,875852948,Zach Bryan,Something in the Orange,us,1714552247,2022-04-22,[]
6,Morgan Wallen - Last Night,155,34.0,1,(x7),16883425,852753996,Morgan Wallen,Last Night,us,3398329531,2023-03-03,[]
7,Kendrick Lamar - HUMBLE.,243,21.0,1,(x9),23993465,825364950,Kendrick Lamar,HUMBLE.,us,350171311,2017-04-14,['Rap/Hip Hop']
8,Lil Uzi Vert - XO TOUR Llif3,269,30.0,2,(x6),11030276,798117691,Lil Uzi Vert,XO TOUR Llif3,us,144949268,2017-03-24,['Rap/Hip Hop']
9,Fleetwood Mac - Dreams - 2004 Remaster,264,2.0,6,,6296848,762455128,Fleetwood Mac,Dreams - 2004 Remaster,us,63480987,1977-02-04,['Rock']
10,Zach Bryan - I Remember Everything,129,26.0,1,(x1),14180204,752580032,Zach Bryan,I Remember Everything,us,2417266335,2023-01-27,[]
11,Arctic Monkeys - 505,264,,18,,4600367,752088551,Arctic Monkeys,505,us,4315389,2007-04-21,['Alternatif']
12,Noah Kahan - Stick Season,170,18.0,2,(x4),11205319,741446877,Noah Kahan,Stick Season,us,2310201655,2023-06-09,['Alternatif']
13,Travis Scott - goosebumps,311,1.0,8,,6351723,741357938,Travis Scott,goosebumps,us,1208717042,2021-01-14,"['Rap/Hip Hop', 'Pop']"
14,Billie Eilish - BIRDS OF A FEATHER,91,38.0,2,(x1),22088494,737708293,Billie Eilish,BIRDS OF A FEATHER,us,,,
15,Post Malone - rockstar,177,26.0,1,(x18),19553820,731008572,Post Malone,rockstar,us,491446942,2018-04-27,['Rap/Hip Hop']
16,The Weeknd - Blinding Lights,187,33.0,1,(x2),13245312,716804838,The Weeknd,Blinding Lights,us,908604612,2020-03-20,['R&B']
17,Juice WRLD - All Girls Are The Same,280,,13,,6052811,715499305,Juice WRLD,All Girls Are The Same,us,601837412,2018-12-10,['Rap/Hip Hop']
18,The Killers - Mr. Brightside,285,,16,,5101065,703520241,The Killers,Mr. Brightside,us,953097,2007-09-17,['Rock']
19,SZA - Kill Bill,121,31.0,1,(x6),19406075,701111464,SZA,Kill Bill,us,2058562847,2022-12-08,['R&B']
20,Kendrick Lamar - Not Like Us,92,21.0,1,(x8),38690532,700303342,Kendrick Lamar,Not Like Us,us,2783963122,2024-05-04,['Rap/Hip Hop']
21,Morgan Wallen - Whiskey Glasses,304,,43,,3438310,694437809,Morgan Wallen,Whiskey Glasses,us,2851520632,2018-04-27,[]
22,Sabrina Carpenter - Espresso,94,27.0,1,(x1),23301994,672281552,Sabrina Carpenter,Espresso,us,2743578151,2024-04-12,['Pop']
23,Lil Baby - Drip Too Hard (Lil Baby & Gunna),243,18.0,1,(x1),11011445,666286395,Lil Baby,Drip Too Hard (Lil Baby & Gunna),us,2816017052,2024-05-23,['Rap/Hip Hop']
24,Glass Animals - Heat Waves,155,35.0,1,(x4),8085874,659196554,Glass Animals,Heat Waves,us,1040154662,2020-08-07,['Pop']
25,Post Malone - I Had Some Help (Feat. Morgan Wallen),92,23.0,1,(x2),35069809,658650207,Post Malone,I Had Some Help (Feat. Morgan Wallen),us,,,
26,"Chappell Roan - Good Luck, Babe!",96,21.0,1,(x2),15085485,654803150,Chappell Roan,"Good Luck, Babe!",us,2728070371,2024-04-05,['Pop']
27,Shaboozey - A Bar Song (Tipsy),95,21.0,3,(x4),20609475,648263499,Shaboozey,A Bar Song (Tipsy),us,2729273551,2024-04-12,[]
28,Offset - Ric Flair Drip,242,13.0,4,,6705486,647247374,Offset,Ric Flair Drip,us,423097622,2017-10-31,['Rap/Hip Hop']
29,XXXTENTACION - Jocelyn Flores,242,9.0,3,(x1),9353667,646370589,XXXTENTACION,Jocelyn Flores,us,398055682,2017-08-25,['Rap/Hip Hop']
30,Post Malone - Circles,186,25.0,1,(x5),18574069,642443273,Post Malone,Circles,us,742744952,2019-08-30,['Rap/Hip Hop']
31,Benson Boone - Beautiful Things,108,13.0,1,(x1),11944718,641759854,Benson Boone,Beautiful Things,us,2610711672,2024-01-18,['Pop']
32,Kendrick Lamar - All The Stars,179,16.0,2,(x2),13290262,634625550,Kendrick Lamar,All The Stars,us,446082632,2018-01-04,['Rap/Hip Hop']
33,Harry Styles - As It Was,114,30.0,1,(x6),24686367,629995543,Harry Styles,As It Was,us,1703487577,2022-03-31,['Pop']
34,Morgan Wallen - Wasted On You,202,1.0,3,(x1),6198233,627254702,Morgan Wallen,Wasted On You,us,3399879451,2021-01-08,[]
35,XXXTENTACION - SAD!,169,19.0,1,(x2),15024019,627102233,XXXTENTACION,SAD!,us,472992602,2018-03-16,['Pop']
36,Bryson Tiller - Don't,280,8.0,6,,4367511,623898784,Bryson Tiller,Don't,us,107744166,2015-10-02,['R&B']
37,SZA - Snooze,153,2.0,10,,8773360,603823609,SZA,Snooze,us,2055292087,2022-12-09,['R&B']
38,Taylor Swift - Cruel Summer,127,22.0,2,(x1),10071597,601952214,Taylor Swift,Cruel Summer,us,,,
39,Kendrick Lamar - Money Trees,234,,29,,6217286,594188066,Kendrick Lamar,Money Trees,us,67929157,2013-01-01,['Rap/Hip Hop']
40,Steve Lacy - Bad Habit,146,22.0,1,(x10),11314316,593526801,Steve Lacy,Bad Habit,us,1817216187,2022-07-15,['R&B']
41,Travis Scott - SICKO MODE,150,27.0,1,(x3),19657392,590660389,Travis Scott,SICKO MODE,us,536421002,2018-08-03,['Rap/Hip Hop']
42,Drake - One Dance,158,26.0,1,(x15),18322096,587422642,Drake,One Dance,us,124603270,2016-05-06,['Rap/Hip Hop']
43,Teddy Swims - Lose Control,118,3.0,10,,8132637,586930277,Teddy Swims,Lose Control,us,2319265555,2023-09-15,['Pop']
44,Morgan Wallen - You Proof,136,5.0,8,,8063954,585707111,Morgan Wallen,You Proof,us,3398329671,2023-03-03,[]
45,Lady Gaga - Die With A Smile,78,37.0,1,(x6),17496020,579515732,Lady Gaga,Die With A Smile,us,2947516331,2024-08-16,['Pop']
46,Frank Ocean - Pink + White,185,,30,,4963463,578230622,Frank Ocean,Pink + White,us,717273862,2016-08-20,['Pop']
47,Chris Stapleton - Tennessee Whiskey,269,,62,,3336060,571930002,Chris Stapleton,Tennessee Whiskey,us,98975170,2015-05-05,[]
48,Steve Lacy - Dark Red,183,,16,,4310486,568931447,Steve Lacy,Dark Red,us,1860754817,2017-02-24,['R&B']
49,J. Cole - MIDDLE CHILD,197,14.0,1,(x2),20663232,560219071,J. Cole,MIDDLE CHILD,us,622457832,2019-01-24,['Rap/Hip Hop']
50,Mariah Carey - All I Want for Christmas Is You,94,40.0,1,(x1),20865536,551848990,Mariah Carey,All I Want for Christmas Is You,us,62710442,1994-10-28,['Pop']
51,Post Malone - I Fall Apart,183,20.0,2,(x2),8350785,550084947,Post Malone,I Fall Apart,us,137726977,2016-12-09,['Rap/Hip Hop']
